Video;Editor;Scenestart (HH:MM:SS);Sceneend (HH:MM:SS);Eventtype;Additional Information;Unnamed: 6
9_Video_1;20;00:00:00;00:00:38;interaction;walk;
9_Video_1;20;00:00:48;00:01:07;interaction;walk;
9_Video_1;20;00:01:07;00:01:15;locationstay;grassland;
9_Video_1;20;00:01:15;00:02:17;interaction;walk;
9_Video_1;20;00:02:17;00:02:24;interaction;upstairs;
9_Video_1;20;00:02:24;00:02:31;interaction;walk;
9_Video_1;20;00:02:31;00:02:32;interaction;upstairs;
9_Video_1;20;00:02:32;00:02:36;interaction;walk;
9_Video_1;20;00:02:36;00:02:42;interaction;open door;
9_Video_1;20;00:02:42;00:02:51;interaction;walk;
9_Video_1;20;00:02:51;00:02:57;interaction;sitdown;
9_Video_1;20;00:02:57;00:03:07;interaction;sitting;
9_Video_1;20;00:03:07;00:03:08;interaction;standup;
9_Video_1;20;00:03:08;00:03:23;interaction;walk;
9_Video_1;20;00:03:23;00:03:28;interaction;open door;
9_Video_1;20;00:03:28;00:03:40;interaction;walk;
9_Video_1;20;00:03:40;00:03:49;interaction;downstairs;
9_Video_1;20;00:03:49;00:04:35;interaction;walk;
9_Video_1;20;00:04:35;00:04:41;interaction;sitdown;
9_Video_1;20;00:00:00;00:02:01;locationstay;outdoor, nature, city;
9_Video_2;20;00:00:00;00:00:07;interaction;stay;
9_Video_2;20;00:00:07;00:00:10;interaction;walk;
9_Video_2;20;00:00:10;00:00:15;interaction;stay, grassland, nature, seaview;
9_Video_2;20;00:00:15;00:01:10;mainmenu;open, search;
9_Video_2;20;00:01:10;00:01:13;teleport;location change, loch ness centre;
9_Video_2;20;00:01:10;00:01:13;loadingscreen;load, new, area;
9_Video_2;20;00:01:13;00:01:16;mainmenu;close;
9_Video_2;20;00:01:16;00:01:39;interaction;stay, outdoor, look around;
9_Video_2;20;00:01:39;00:01:45;interaction;walk;
9_Video_2;20;00:01:45;00:01:51;interaction;open door;
9_Video_2;20;00:01:51;00:02:01;interaction;walk;
9_Video_2;20;00:02:01;00:04:44;locationstay;indoor, sight, exhibition;
9_Video_2;20;00:02:12;00:02:27;interaction;stay;
9_Video_2;20;00:02:12;00:02:27;mainmenu;information;
9_Video_2;20;00:02:27;00:02:36;interaction;walk;
9_Video_2;20;00:02:36;00:02:50;mainmenu;information;
9_Video_2;20;00:02:50;00:02:59;interaction;look around;
9_Video_2;20;00:02:59;00:03:03;interaction;walk;
9_Video_2;20;00:03:03;00:03:09;interaction;upstairs;
9_Video_2;20;00:03:09;00:03:44;interaction;walk;
9_Video_2;20;00:03:44;00:03:46;interaction;downstairs;
9_Video_2;20;00:03:46;00:04:05;interaction;walk;
9_Video_2;20;00:04:05;00:04:09;interaction;sitdown, chair;
9_Video_2;20;00:04:09;00:04:19;interaction;sitting, chair;
9_Video_2;20;00:04:12;00:04:19;mainmenu;open, move the mouse, close;
9_Video_2;20;00:04:19;00:04:21;interaction;standup, chair;
9_Video_2;20;00:04:21;00:04:41;interaction;walk;
9_Video_2;20;00:04:41;00:04:44;interaction;open door;
9_Video_2;20;00:04:44;00:05:00;locationstay;outdoor, city;
9_Video_2;20;00:04:44;00:05:00;interaction;walk;
9_Video_3;20;00:00:00;00:00:33;locationstay;outdoor, city;
9_Video_3;20;00:00:00;00:00:26;interaction;walk;
9_Video_3;20;00:00:26;00:00:33;interaction;bus, enter;
9_Video_3;20;00:00:33;00:01:48;locationstay;bus;
9_Video_3;20;00:00:33;00:00:52;interaction;bus, drive;
9_Video_3;20;00:00:52;00:01:12;interaction;bus, stop;
9_Video_3;20;00:01:12;00:01:37;interaction;bus, drive;
9_Video_3;20;00:01:37;00:01:48;interaction;bus, leave;
9_Video_3;20;00:01:48;00:04:21;locationstay;outdoor, city;
9_Video_3;20;00:01:48;00:01:53;interaction;walk;
9_Video_3;20;00:01:53;00:02:02;interaction;stay, look around;
9_Video_3;20;00:02:02;00:03:16;interaction;walk;
9_Video_3;20;00:03:16;00:04:21;interaction;stay;
9_Video_3;20;00:03:16;00:04:21;dialog;chat, question;
9_Video_3;20;00:04:03;00:04:09;mainmenu;minimap, menu, overview;
9_Video_3;20;00:04:13;00:04:21;mainmenu;menu;
9_Video_3;20;00:04:21;00:04:24;teleport;location change, home;
9_Video_3;20;00:04:21;00:04:24;loadingscreen;load, new, area;
9_Video_3;20;00:04:24;00:04:47;locationstay;home, indoor;
9_Video_3;20;00:04:24;00:04:31;interaction;stay;
9_Video_3;20;00:04:31;00:04:40;interaction;walk;
9_Video_3;20;00:04:40;00:04:42;interaction;stay;
9_Video_3;20;00:04:41;00:04:42;mainmenu;menu, sitdown;
9_Video_3;20;00:04:42;00:04:44;interaction;sitdown;
9_Video_3;20;00:04:44;00:04:47;interaction;sitting;
9_Video_4;20;00:00:00;00:02:35;locationstay;outdoor, nature, night;
9_Video_4;20;00:00:00;00:00:09;interaction;stay;
9_Video_4;20;00:00:09;00:00:24;interaction;walk;
9_Video_4;20;00:00:24;00:01:15;interaction;stay, touch, calendar;
9_Video_4;20;00:01:15;00:01:23;interaction;webbrowser, surf;
9_Video_4;20;00:01:23;00:01:36;interaction;walk;
9_Video_4;20;00:01:36;00:01:54;interaction;stay;
9_Video_4;20;00:01:38;00:01:54;interaction;use, information board;
9_Video_4;20;00:01:54;00:02:11;interaction;walk;
9_Video_4;20;00:02:11;00:02:18;interaction;stay;
9_Video_4;20;00:02:18;00:02:28;interaction;walk;
9_Video_4;20;00:02:28;00:02:35;interaction;stay;
9_Video_4;20;00:02:35;00:02:45;teleport;location change, club;
9_Video_4;20;00:02:35;00:02:38;loadingscreen;load, new, area;
9_Video_4;20;00:02:45;00:04:52;locationstay;outdoor, club;
9_Video_4;20;00:02:45;00:03:05;interaction;stay, look around;
9_Video_4;20;00:03:05;00:03:10;interaction;walk;
9_Video_4;20;00:03:10;00:03:26;interaction;stay, infoscreen, read;
9_Video_4;20;00:03:26;00:03:39;interaction;walk;
9_Video_4;20;00:03:39;00:03:45;interaction;stay, infoscreen, read;
9_Video_4;20;00:03:45;00:03:53;interaction;walk;
9_Video_4;20;00:03:53;00:03:57;interaction;upstairs;
9_Video_4;20;00:03:57;00:04:01;interaction;walk;
9_Video_4;20;00:04:01;00:04:52;interaction;stay;
9_Video_4;20;00:04:18;00:04:52;dialog;chat;
9_Video_5;20;00:00:00;00:05:00;locationstay;outdoor, club;
9_Video_5;20;00:00:00;00:00:18;interaction;stay;
9_Video_5;20;00:00:05;00:00:24;mainmenu;menu, activate, dance;
9_Video_5;20;00:00:18;00:03:03;interaction;dance;
9_Video_5;20;00:01:06;00:03:03;dialog;chat;
9_Video_5;20;00:03:03;00:03:42;interaction;stay;
9_Video_5;20;00:03:07;00:03:39;mainmenu;lookup, events;
9_Video_5;20;00:03:42;00:03:50;interaction;walk;
9_Video_5;20;00:03:50;00:03:52;interaction;downstairs;
9_Video_5;20;00:03:52;00:04:49;interaction;stay;
9_Video_5;20;00:04:01;00:04:20;mainmenu;lookup, events;
9_Video_5;20;00:04:24;00:04:42;mainmenu;search;
9_Video_5;20;00:04:49;00:05:00;interaction;walk;
9_Video_6;20;00:00:00;00:00:32;locationstay;outdoor, club;
9_Video_6;20;00:00:00;00:00:32;interaction;stay;
9_Video_6;20;00:00:06;00:00:32;mainmenu;change, location;
9_Video_6;20;00:00:32;00:00:38;teleport;location change, club;
9_Video_6;20;00:00:32;00:00:35;loadingscreen;load, new, area;
9_Video_6;20;00:00:32;00:01:21;locationstay;club, outdoor;
9_Video_6;20;00:00:35;00:00:38;mainmenu;close, menu;
9_Video_6;20;00:00:38;00:00:57;interaction;stay, look around;
9_Video_6;20;00:00:57;00:01:13;interaction;walk;
9_Video_6;20;00:01:13;00:01:21;interaction;stay;
9_Video_6;20;00:01:22;00:01:28;teleport;location change, city;
9_Video_6;20;00:01:22;00:01:24;loadingscreen;load, new, area;
9_Video_6;20;00:01:28;00:01:32;locationstay;city, outdoor;
9_Video_6;20;00:01:28;00:01:39;interaction;walk;
9_Video_6;20;00:01:32;00:02:03;locationstay;club, indoor;
9_Video_6;20;00:01:39;00:01:56;interaction;stay;
9_Video_6;20;00:01:56;00:02:16;interaction;walk;
9_Video_6;20;00:02:03;00:02:46;locationstay;city, outdoor;
9_Video_6;20;00:02:16;00:02:21;interaction;stay;
9_Video_6;20;00:02:19;00:02:21;mainmenu;close, menu;
9_Video_6;20;00:02:21;00:02:32;interaction;walk;
9_Video_6;20;00:02:32;00:02:46;interaction;fall down;
9_Video_6;20;00:02:40;00:02:36;mainmenu;menu, change, location;
9_Video_6;20;00:02:46;00:02:58;teleport;location change, home;
9_Video_6;20;00:02:46;00:02:48;loadingscreen;load, new, area;
9_Video_6;20;00:02:58;00:04:58;locationstay;outdoor, nature, terrace;
9_Video_6;20;00:02:58;00:04:18;interaction;walk;
9_Video_6;20;00:04:18;00:04:24;interaction;stay;
9_Video_6;20;00:04:24;00:04:47;interaction;walk;
9_Video_6;20;00:04:47;00:04:58;interaction;stay;
9_Video_7;20;00:00:00;00:00:32;locationstay;outdoor, terrace;
9_Video_7;20;00:00:00;00:00:17;interaction;walk;
9_Video_7;20;00:00:17;00:00:24;interaction;downstairs;
9_Video_7;20;00:00:24;00:00:37;interaction;walk;
9_Video_7;20;00:00:32;00:01:33;locationstay;sea, water;
9_Video_7;20;00:00:37;00:01:23;interaction;stay;
9_Video_7;20;00:00:41;00:01:48;mainmenu;menu, fly;
9_Video_7;20;00:00:43;00:01:33;interaction;fly;
9_Video_7;20;00:01:33;00:05:00;locationstay;outdoor, nature;
9_Video_7;20;00:01:33;00:01:45;interaction;jump, into, boat;
9_Video_7;20;00:01:45;00:02:40;interaction;boating;
9_Video_7;20;00:02:40;00:02:53;interaction;leave, boat;
9_Video_7;20;00:02:40;00:02:53;mainmenu;select, leave, boat;
9_Video_7;20;00:02:53;00:03:20;interaction;walk;
9_Video_7;20;00:03:20;00:04:18;mainmenu;fly;
9_Video_7;20;00:03:20;00:04:18;interaction;fly;
9_Video_7;20;00:04:18;00:04:40;interaction;walk;
9_Video_7;20;00:04:40;00:04:47;interaction;stay;
9_Video_7;20;00:04:47;00:05:00;interaction;walk;
9_Video_8;20;00:00:00;00:00:41;locationstay;outdoor, garden;
9_Video_8;20;00:00:00;00:00:18;interaction;stay;
9_Video_8;20;00:00:08;00:00:11;mainmenu;menu, open, close;
9_Video_8;20;00:00:14;00:04:58;mainmenu;menu, minimap;
9_Video_8;20;00:00:18;00:00:37;interaction;walk;
9_Video_8;20;00:00:37;00:00:41;interaction;open door;
9_Video_8;20;00:00:41;00:00:55;locationstay;indoor, house;
9_Video_8;20;00:00:41;00:00:43;interaction;walk;
9_Video_8;20;00:00:43;00:00:47;interaction;upstairs;
9_Video_8;20;00:00:47;00:00:51;interaction;walk;
9_Video_8;20;00:00:51;00:00:55;interaction;open door;
9_Video_8;20;00:00:55;00:01:10;locationstay;outdoor, balcony;
9_Video_8;20;00:00:55;00:00:59;interaction;walk;
9_Video_8;20;00:00:59;00:01:10;interaction;stay, look around;
9_Video_8;20;00:01:07;00:01:40;mainmenu;fly;
9_Video_8;20;00:01:10;00:01:40;interaction;fly;
9_Video_8;20;00:01:10;00:02:37;locationstay;outdoor, nature;
9_Video_8;20;00:01:40;00:02:00;interaction;walk;
9_Video_8;20;00:02:00;00:02:37;interaction;stay;
9_Video_8;20;00:02:08;00:02:37;mainmenu;lookup, location;
9_Video_8;20;00:02:37;00:02:59;teleport;location change;
9_Video_8;20;00:02:37;00:02:39;loadingscreen;load, new, area;
9_Video_8;20;00:02:59;00:03:06;locationstay;outddor, nature;
9_Video_8;20;00:02:59;00:03:02;interaction;walk;
9_Video_8;20;00:03:02;00:03:04;interaction;upstairs;
9_Video_8;20;00:03:04;00:03:10;interaction;walk;
9_Video_8;20;00:03:06;00:03:25;locationstay;indoor, building;
9_Video_8;20;00:03:10;00:03:25;interaction;stay;
9_Video_8;20;00:03:13;00:03:25;dialog;chat;
9_Video_8;20;00:03:25;00:03:32;teleport;garden, outdoor;
9_Video_8;20;00:03:25;00:03:28;loadingscreen;load, new, area;
9_Video_8;20;00:03:28;00:04:58;locationstay;garden, outdoor, club ;
9_Video_8;20;00:03:28;00:04:58;dialog;chat;
9_Video_8;20;00:03:28;00:03:49;interaction;stay;
9_Video_8;20;00:03:49;00:04:10;interaction;walk;
9_Video_8;20;00:04:10;00:04:12;interaction;upstairs;
9_Video_8;20;00:04:14;00:04:44;interaction;stay, look around;
9_Video_8;20;00:04:44;00:04:58;interaction;walk;
