Video;Metaverse name;Editor;Time(start);Time(end);Action;Relevant Objects;Description
1_Video_1.mp4;Roblox Adopt Me;1;2023-06-23 00:02:00;;A10,S4;abholen-button;press button: abholen
1_Video_1.mp4;Roblox Adopt Me;1;2023-06-23 00:03:00;2023-06-23 00:05:00;S1;avatar, money-animation;spent money to receive a cat as a pet
1_Video_1.mp4;Roblox Adopt Me;1;2023-06-23 00:06:00;2023-06-23 00:08:00;A6,S0;avatar, cat;cat running around the avatar
1_Video_1.mp4;Roblox Adopt Me;1;2023-06-23 00:09:00;2023-06-23 00:12:00;A3,S0;avatar, cat, building;exiting a house
1_Video_1.mp4;Roblox Adopt Me;1;2023-06-23 00:13:00;2023-06-23 00:50:00;A1;avatar;running through the virtual world
1_Video_1.mp4;Roblox Adopt Me;1;2023-06-23 00:33:00;;A5,S1;system;receiving a message from a player
1_Video_1.mp4;Roblox Adopt Me;1;2023-06-23 00:35:00;;A10,S4;ablehnen-button;press button: ablehnen
1_Video_1.mp4;Roblox Adopt Me;1;2023-06-23 00:45:00;;A7;avatar;change location through white space
1_Video_2.mp4;Roblox Adopt Me;1;2023-06-23 00:00:00;2023-06-23 00:13:00;A1;avatar;running through the virtual world
1_Video_2.mp4;Roblox Adopt Me;1;2023-06-23 00:09:00;;A2;avatar, cactus;avatur running against a cactus
1_Video_2.mp4;Roblox Adopt Me;1;2023-06-23 00:17:00;;A3;avatar, building;avatar entering a building
1_Video_2.mp4;Roblox Adopt Me;1;2023-06-23 00:18:00;;A1;avatar;running through the virtual world
1_Video_2.mp4;Roblox Adopt Me;1;2023-06-23 00:25:00;;S0;cat;cat jumping
1_Video_2.mp4;Roblox Adopt Me;1;2023-06-23 00:27:00;;A6,S4;backpack;edit the state of the backpack
1_Video_2.mp4;Roblox Adopt Me;1;2023-06-23 00:29:00;;A10,S4;einpacken-button;press button: einpacken
1_Video_2.mp4;Roblox Adopt Me;1;2023-06-23 00:37:00;;A2;avatar, wall;running against a wall
1_Video_2.mp4;Roblox Adopt Me;1;2023-06-23 00:38:00;2023-06-23 01:11:00;A1;avatar;running through the virtual world
