Video;Metaverse name;Editor;Timestamp (from);Timestamp (to, optional);Action;Relevant Objects;Description
10_Video_01.mp4;Fortnite;10;00:00:00;00:00:08;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:00:08;00:00:16;A4;avatar;attempt to gain attention
10_Video_01.mp4;Fortnite;10;00:00:22;00:00:27;A4;avatar;attempt to gain attention
10_Video_01.mp4;Fortnite;10;00:00:28;00:00:30;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:00:30;;A9;avatar;stop and go
10_Video_01.mp4;Fortnite;10;00:00:31;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:00:33;;A7;avatar;teleport
10_Video_01.mp4;Fortnite;10;00:00:35;00:00:45;A6;avatar, vehicle;moving in a vehicle
10_Video_01.mp4;Fortnite;10;00:00:45;;A6;avatar, vehicle;exiting vehicle
10_Video_01.mp4;Fortnite;10;00:00:45;00:01:26;A1;avatar;falling through the virtual world
10_Video_01.mp4;Fortnite;10;00:00:54;;A6;avatar, parachute;opening a parachute
10_Video_01.mp4;Fortnite;10;00:01:06;;A6;avatar, parachute;closing parachute
10_Video_01.mp4;Fortnite;10;00:01:12;;A6;avatar, parachute;opening a parachute
10_Video_01.mp4;Fortnite;10;00:01:23;;A8;avatar, parachute;change direction
10_Video_01.mp4;Fortnite;10;00:01:24;;A8;avatar, parachute;change direction
10_Video_01.mp4;Fortnite;10;00:01:26;;A6;avatar, parachute;closing parachute
10_Video_01.mp4;Fortnite;10;00:01:29;;A6;avatar, bottle;picking up item
10_Video_01.mp4;Fortnite;10;00:01:30;;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:01:36;;A6;avaar, item;picking up item
10_Video_01.mp4;Fortnite;10;00:01:37;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:01:39;;A2;avatar, container;blocked by obstacle
10_Video_01.mp4;Fortnite;10;00:01:39;;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:01:40;;A6;avatar, item;picking up item
10_Video_01.mp4;Fortnite;10;00:01:40;00:01:45;A6;avatar, item;picking up item
10_Video_01.mp4;Fortnite;10;00:01:40;00:01:46;A6;avatar, item;picking up item
10_Video_01.mp4;Fortnite;10;00:01:48;;A6;avatar, container;hitting container
10_Video_01.mp4;Fortnite;10;00:01:48;00:01:52;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:01:52;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:01:54;00:02:02;A6;avatar, item;consume item
10_Video_01.mp4;Fortnite;10;00:02:02;00:02:03;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:02:03;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:02:03;00:02:06;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:02:06;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:02:06;;A1;avatar;jump into water
10_Video_01.mp4;Fortnite;10;00:02:06;00:02:14;A1;avatar;swimming through virtual world
10_Video_01.mp4;Fortnite;10;00:02:14;00:02:19;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:02:19;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:02:19;00:02:23;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:02:23;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:02:24;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:02:26;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:02:26;00:02:37;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:02:38;00:02:42;A6;avatar, vending machine;interacting with vending machine
10_Video_01.mp4;Fortnite;10;00:02:42;00:02:42;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:02:42;;A3;avatar;entering a building
10_Video_01.mp4;Fortnite;10;00:02:42;;A9;avatar;stop and go
10_Video_01.mp4;Fortnite;10;00:02:42;00:02:45;A6;avatar, item;picking up item
10_Video_01.mp4;Fortnite;10;00:02:45;00:02:49;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:02:49;;A6;avatar, item;picking up item
10_Video_01.mp4;Fortnite;10;00:02:49;00:02:53;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:02:53;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:02:53;00:02:55;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:02:55;;A6;avatar, item;picking up item
10_Video_01.mp4;Fortnite;10;00:02:55;00:03:00;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:03:00;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:03:00;;A3;avatar;exiting a building
10_Video_01.mp4;Fortnite;10;00:03:00;00:03:03;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:03:03;;A8;avatar;change direction
10_Video_01.mp4;Fortnite;10;00:03:03;00:03:04;A1;avatar;running through the virtual world
10_Video_01.mp4;Fortnite;10;00:03:04;;A3;avatar;entering a building
10_Video_01.mp4;Fortnite;10;00:03:04;00:03:08;A1;avatar;running through the virtual world
10_Video_02.mp4;Fortnite;10;00:00:02;;A8;avatar;change direction
10_Video_02.mp4;Fortnite;10;00:00:11;00:00:15;A6;avatar, ui-element;viewing ui-element
10_Video_02.mp4;Fortnite;10;00:00:15;00:00:24;A5;avatar, avatar;communication through emotes
10_Video_02.mp4;Fortnite;10;00:00:24;00:00:24;A6;avatar, ui-element;viewing ui-element
10_Video_02.mp4;Fortnite;10;00:00:25;00:00:32;A5;avatar, avatar;communication through emotes
10_Video_02.mp4;Fortnite;10;00:00:32;00:00:34;A6;avatar, ui-element;viewing ui-element
10_Video_02.mp4;Fortnite;10;00:00:34;;A8;avatar;change direction
10_Video_02.mp4;Fortnite;10;00:00:34;00:00:37;A1;avatar;running through the virtual world
10_Video_02.mp4;Fortnite;10;00:00:38;;A7;avatar;teleport
10_Video_02.mp4;Fortnite;10;00:00:38;00:00:54;A1;avatar;moving in a vehicle
10_Video_03.mp4;Fortnite;10;00:00:00;00:00:01;A1;avatar;running through the virtual world
10_Video_03.mp4;Fortnite;10;00:00:01;;A6;avatar, item;picking up item
10_Video_03.mp4;Fortnite;10;00:00:01;;A8;avatar;change direction
10_Video_03.mp4;Fortnite;10;00:00:01;00:00:03;A1;avatar;running through the virtual world
10_Video_03.mp4;Fortnite;10;00:00:03;00:00:04;A8;avatar;change direction
10_Video_03.mp4;Fortnite;10;00:00:04;;A6;avatar, item;picking up item
10_Video_03.mp4;Fortnite;10;00:00:04;;A8;avatar;change direction
10_Video_03.mp4;Fortnite;10;00:00:05;;A3;Avatar, door, building;entering a building
10_Video_03.mp4;Fortnite;10;00:00:05;00:00:07;A1;avatar;running through the virtual world
10_Video_03.mp4;Fortnite;10;00:00:07;;A8;avatar;change direction
10_Video_03.mp4;Fortnite;10;00:00:07;;A6;avatar, item;picking up item
10_Video_03.mp4;Fortnite;10;00:00:07;00:00:09;A1;avatar;running through the virtual world
10_Video_03.mp4;Fortnite;10;00:00:10;;A6;avatar, chest;opening chest
10_Video_03.mp4;Fortnite;10;00:00:12;;A6;avatar, item;picking up item
10_Video_03.mp4;Fortnite;10;00:00:13;;A8;avatar;change direction
10_Video_03.mp4;Fortnite;10;00:00:15;00:00:20;A6;avatar, item;consume item
10_Video_03.mp4;Fortnite;10;00:00:20;00:00:21;A1;avatar;running through the virtual world
10_Video_03.mp4;Fortnite;10;00:00:21;;A3;Avatar, door, building;exiting building
10_Video_04.mp4;Fortnite;10;00:00:00;00:00:10;A1;avatar;running through the virtual world
10_Video_04.mp4;Fortnite;10;00:00:10;;A3;avatar, building;entering a building
10_Video_04.mp4;Fortnite;10;00:00:10;00:00:13;A1;avatar;running through the virtual world
10_Video_04.mp4;Fortnite;10;00:00:13;;A8;avatar;change direction
10_Video_04.mp4;Fortnite;10;00:00:13;;A6;avatar, item;picking up item
10_Video_04.mp4;Fortnite;10;00:00:13;00:00:15;A1;avatar;running through the virtual world
10_Video_04.mp4;Fortnite;10;00:00:15;;A6;avatar, item;picking up item
10_Video_04.mp4;Fortnite;10;00:00:15;00:00:19;A9;avatar;stop and go
10_Video_04.mp4;Fortnite;10;00:00:19;;A3;avatar, building;exiting building
10_Video_04.mp4;Fortnite;10;00:00:19;00:00:23;A1;avatar;running through the virtual world
10_Video_05.mp4;Fortnite;10;00:00:00;00:00:05;A1;avatar;running through the virtual world
10_Video_05.mp4;Fortnite;10;00:00:05;;A8;avatar;change direction
10_Video_05.mp4;Fortnite;10;00:00:10;00:00:17;;avatar, ui-element;viewing ui-element
10_Video_05.mp4;Fortnite;10;00:00:17;00:00:23;A4;avatar, avatar;attempt to gain attention
10_Video_05.mp4;Fortnite;10;00:00:23;00:00:34;A1;avatar;running through the virtual world
10_Video_05.mp4;Fortnite;10;00:00:34;;A7;avatar;teleport
10_Video_05.mp4;Fortnite;10;00:00:35;00:00:47;A1;avatar, vehicle;moving in a vehicle
10_Video_05.mp4;Fortnite;10;00:00:47;;A6;avatar, vehicle;exiting vehicle
10_Video_05.mp4;Fortnite;10;00:00:47;00:01:10;A1;avatar;falling through the virtual world
10_Video_05.mp4;Fortnite;10;00:01:10;;A6;avatar, parachute;opening a parachute
10_Video_05.mp4;Fortnite;10;00:01:10;00:01:15;A1;avatar;flying through the virtual world
