Video;Metaverse name;Editor;Timestamp (from);Timestamp (to);Action;Relevant Objects;Description
13_Video_1.mp4;Horizon Worlds;13;00:00:10:00;00:00:57:00;A7;;
13_Video_1.mp4;Horizon Worlds;13;00:01:00:04;00:01:17:22;S1;;Systemmenü
13_Video_1.mp4;Horizon Worlds;13;00:01:30:13;00:02:04:12;S1;;
13_Video_1.mp4;Horizon Worlds;13;00:02:04:12;00:03:52:23;A7;;Teleport to game virtual world
13_Video_1.mp4;Horizon Worlds;13;00:03:52:23;00:04:17:00;S1;;Message
13_Video_1.mp4;Horizon Worlds;13;00:04:17:06;00:04:33:19;S1;;Game Instructions
13_Video_1.mp4;Horizon Worlds;13;00:04:34:09;00:04:37:09;S1;;Game Instructions
13_Video_1.mp4;Horizon Worlds;13;00:04:37:09;00:04:37:23;A7;;Starting/Joining a game round
13_Video_1.mp4;Horizon Worlds;13;00:04:38:28;00:04:52:19;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:04:50:09;00:04:52:19;A6;Shots, Avatar;Shooting with another Avatar
13_Video_1.mp4;Horizon Worlds;13;00:04:49:25;00:04:51:00;S1;;Health update
13_Video_1.mp4;Horizon Worlds;13;00:04:43:04;00:04:44:13;S1;;Game Instructions
13_Video_1.mp4;Horizon Worlds;13;00:04:52:04;00:04:52:19;S1;;Health update
13_Video_1.mp4;Horizon Worlds;13;00:04:52:20;00:04:52:27;S7;;
13_Video_1.mp4;Horizon Worlds;13;00:04:57:18;00:04:57:26;A7;;Game restart
13_Video_1.mp4;Horizon Worlds;13;00:04:57:27;00:05:05:06;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:05:04:14;00:05:05:06;S1;;Health update
13_Video_1.mp4;Horizon Worlds;13;00:05:05:07;00:05:05:17;A7;;Game Restart
13_Video_1.mp4;Horizon Worlds;13;00:05:10:11;00:05:11:10;A7;;Join the game
13_Video_1.mp4;Horizon Worlds;13;00:05:11:10;00:05:22:23;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:05:22:24;00:05:23:02;A7;;Game Restart
13_Video_1.mp4;Horizon Worlds;13;00:05:28:02;00:05:28:10;A7;;Join the game
13_Video_1.mp4;Horizon Worlds;13;00:05:28:11;00:05:37:26;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:05:36:07;00:05:37:26;A6;Shots, Avatar;Shooting with another Avatar
13_Video_1.mp4;Horizon Worlds;13;00:05:36:11;00:05:37:26;S1;;Health update
13_Video_1.mp4;Horizon Worlds;13;00:05:37:27;00:05:38:03;A7;;Game restart
13_Video_1.mp4;Horizon Worlds;13;00:05:38:03;00:05:43:15;A7;;Join the game
13_Video_1.mp4;Horizon Worlds;13;00:05:43:16;00:05:51:07;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:05:50:01;00:05:51:02;S1;;Health update
13_Video_1.mp4;Horizon Worlds;13;00:05:51:07;00:05:51:12;A7;;Game restart
13_Video_1.mp4;Horizon Worlds;13;00:05:51:13;00:05:51:20;A7;;Join the game
13_Video_1.mp4;Horizon Worlds;13;00:05:51:21;00:06:03:06;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:06:03:06;00:06:03:06;A8;;Start walking backward
13_Video_1.mp4;Horizon Worlds;13;00:06:03:07;00:06:09:07;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:06:15:15;00:06:16:18;S1;;Roloading Gun
13_Video_1.mp4;Horizon Worlds;13;00:06:10:00;00:06:20:19;V2;;Hate Speech / Trash Talk
13_Video_1.mp4;Horizon Worlds;13;00:06:25:28;00::06:29:11;A6;Shots, Avatar;Shooting with another Avatar
13_Video_1.mp4;Horizon Worlds;13;00:06:17:04;00:07:25:16;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:06:29:22;00:06:32:18;S1;;Game Instructions
13_Video_1.mp4;Horizon Worlds;13;00:06:34:16;00:06:34:16;A8;;Start Walking Backward
13_Video_1.mp4;Horizon Worlds;13;00:06:39:14;00:06:39:14;A8;;Start Walking forward
13_Video_1.mp4;Horizon Worlds;13;00:06:42:19;00:06:57:14;V2;;Hate Speech / Trash Talk
13_Video_1.mp4;Horizon Worlds;13;00:07:00:28;00:07:14:06;V2;;Hate Speech / Trash Talk
13_Video_1.mp4;Horizon Worlds;13;00:07:25:16;00:07:25:24;A7;;Game restart
13_Video_1.mp4;Horizon Worlds;13;00:07:30:17;00:07:30:24;A7;;Joining the game
13_Video_1.mp4;Horizon Worlds;13;00:06:32:06;00:06:32:14;A6;Rifle;Pickup a sniper rifle
13_Video_1.mp4;Horizon Worlds;13;00:07:33:03;00:07:33:25;A2;Wall;Walk against a wall
13_Video_1.mp4;Horizon Worlds;13;00:07:30:24;00:07:38:29;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:07:38:30;00:07:39:07;A7;;Game restart
13_Video_1.mp4;Horizon Worlds;13;00:07:44:01;00:07:44:10;A7;;Joining the game
13_Video_1.mp4;Horizon Worlds;13;00:07:39:07;00:07:39:24;S1;;Health update
13_Video_1.mp4;Horizon Worlds;13;00:07:36:07;00:07:36:07;A3;Building;Enter garage
13_Video_1.mp4;Horizon Worlds;13;00:07:44:10;00:07:58:20;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:07:49:27;00:07:52:02;A6;;
13_Video_1.mp4;Horizon Worlds;13;00:07:56:16;00:07:58:20;S1;;Game Information
13_Video_1.mp4;Horizon Worlds;13;00:07:58:21;00:07:58:26;A7;;Game restart
13_Video_1.mp4;Horizon Worlds;13;00:08:03:20;00:08:03:27;A7;;Joining the game
13_Video_1.mp4;Horizon Worlds;13;00:08:04:23;00:08:42:10;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:08:05:19;00:08:42:10;A6;gun;
13_Video_1.mp4;Horizon Worlds;13;00:08:08:18;00:08:24:03;V1;;
13_Video_1.mp4;Horizon Worlds;13;00:08:27:20;;A12;;
13_Video_1.mp4;Horizon Worlds;13;00:08:29:24;00:08:32:20;A6;shots;
13_Video_1.mp4;Horizon Worlds;13;00:08:27:20;00:22:01:10;V2;;Trash Talk
13_Video_1.mp4;Horizon Worlds;13;00:08:41:27;00:08:42:10;S1;;Health update
13_Video_1.mp4;Horizon Worlds;13;00:08:42:11;00:08:42:17;A7;;Game restart
13_Video_1.mp4;Horizon Worlds;13;00:08:42:18;00:08:43:02;S1;;Health update
13_Video_1.mp4;Horizon Worlds;13;00:08:44:10;00:09:17:10;A6;gun;
13_Video_1.mp4;Horizon Worlds;13;00:08:47:11;00:08:47:18;A7;;Join the game
13_Video_1.mp4;Horizon Worlds;13;00:08:48:07;00:08:52:09;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:08:52:10;00:08:52:16;A7;;teleport to location
13_Video_1.mp4;Horizon Worlds;13;00:08:52:25;00:08:56:27;S1;;game info
13_Video_1.mp4;Horizon Worlds;13;00:08:56:27;00:09:17:10;A6;shots;
13_Video_1.mp4;Horizon Worlds;13;00:09:17:11;00:09:17:17;A7;;restart game
13_Video_1.mp4;Horizon Worlds;13;00:09:17:18;00:09:18:15;S1;;Health update
13_Video_1.mp4;Horizon Worlds;13;00:09:17:19;00:09:19:14;A6;gun, shots;
13_Video_1.mp4;Horizon Worlds;13;00:09:22:19;00:09:22:28;A7;;Join the game
13_Video_1.mp4;Horizon Worlds;13;00:09:23:27;00:09:29:08;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:09:29:08;00:09:29:17;A7;;teleport to location
13_Video_1.mp4;Horizon Worlds;13;00:09:31:17;00:09:33:03;A6;shots;
13_Video_1.mp4;Horizon Worlds;13;00:09:32:21;00:09:33:22;S1;;
13_Video_1.mp4;Horizon Worlds;13;00:09:46:13;00:09:50:22;A6;gun, shots;
13_Video_1.mp4;Horizon Worlds;13;00:09:58:14;00:10:04:00;A6;gun, shots;
13_Video_1.mp4;Horizon Worlds;13;00:10:03:03;00:10:04:04;S1;;
13_Video_1.mp4;Horizon Worlds;13;00:10:07:08;00:10:20:09;A6;gun, shots;
13_Video_1.mp4;Horizon Worlds;13;00:10:22:25;00:10:23:27;S1;;
13_Video_1.mp4;Horizon Worlds;13;00:10:23:27;00:10:27:21;A6;gun, shots;
13_Video_1.mp4;Horizon Worlds;13;00:10:30:29;00:10:38:00;A6;gun, shots;
13_Video_1.mp4;Horizon Worlds;13;00:10:38:00;00:10:49:11;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:10:49:12;00:10:49:23;A7;;game round end
13_Video_1.mp4;Horizon Worlds;13;00:11:39:09;00:11:39:17;A7;;game round start
13_Video_1.mp4;Horizon Worlds;13;00:11:39:26;00:12:04:11;A1;;
13_Video_1.mp4;Horizon Worlds;13;00:11:45:00;;A6;gun;grab gun
13_Video_1.mp4;Horizon Worlds;13;00:11:51:01;00:11:58:08;A6;gun, shots;
13_Video_1.mp4;Horizon Worlds;13;00:11:52:01;00:11:53:00;S1;;Health update
13_Video_1.mp4;Horizon Worlds;13;00:11:53:03;00:11:53:19;S2;;Health update
