Video;Metaverse name;Editor;Sec (from);Sec (to, optional);Action;Relevant Objects;Description
2_Video_01;Spatial.io;2;0;215.0;A9;avatar, marketplace;standing and walking on marketplace
2_Video_01;Spatial.io;2;21;28.0;A2;avatar, monument;walking against a monument
2_Video_01;Spatial.io;2;36;;A8;avatar, wall;turning to a wall
2_Video_01;Spatial.io;2;44;52.0;A2;avatar, wall;walking against a wall
2_Video_01;Spatial.io;2;52;57.0;A9;avatar, wall;wait an start running
2_Video_01;Spatial.io;2;57;91.0;A1;avatar;running around
2_Video_01;Spatial.io;2;58;65.0;A1;avatar, building;running towards a building
2_Video_01;Spatial.io;2;66;;A1;avatar, stoneblock;jumping over a stoneblock
2_Video_01;Spatial.io;2;71;;A1;avatar, stoneblock;jumping over a stoneblock with frontflip
2_Video_01;Spatial.io;2;80;;A8;avatar, building;left turn 180 to building
2_Video_01;Spatial.io;2;86;;A1;avatar, stoneblock;jumping over a stoneblock with frontflip
2_Video_01;Spatial.io;2;92;99.0;A4;avatar;waving to camera
2_Video_01;Spatial.io;2;99;106.0;A9;avatar;waiting and start running
2_Video_01;Spatial.io;2;112;120.0;A2;avatar, railing;running against railing
2_Video_01;Spatial.io;2;120;135.0;A1;avatar, dj;walking towards a dj
2_Video_01;Spatial.io;2;135;144.0;A4;avatar, dj;waving next to the dj
2_Video_01;Spatial.io;2;156;;A8;avatar;left turn 180
2_Video_01;Spatial.io;2;166;173.0;A9;avatar, camera, tripod;watching a camera on tripod
2_Video_01;Spatial.io;2;171;;A4;avatar;avatar showing thumbs-up
2_Video_01;Spatial.io;2;173;183.0;A1;avatar;running towards a railing
2_Video_01;Spatial.io;2;180;;A8;avatar;left turn 180
2_Video_01;Spatial.io;2;183;196.0;A2;avatar, railing;running against railing
2_Video_01;Spatial.io;2;198;203.0;A4;avatar, church;waving in front of church
2_Video_01;Spatial.io;2;206;209.0;A4;avatar, building;waving in front of building
2_Video_02;Spatial.io;2;3;17.0;A1;avatar, street;walking along the street
2_Video_02;Spatial.io;2;17;;A3;avatar, house;entering a house
2_Video_02;Spatial.io;2;17;31.0;A1;avatar, stairs;walking up stairs
2_Video_02;Spatial.io;2;31;36.0;A6;avatar, picture;interacting with picture
2_Video_02;Spatial.io;2;36;41.0;A1;avatar, stairs;walking downstairs
2_Video_02;Spatial.io;2;41;;A1;avatar, street;leaving the building
2_Video_02;Spatial.io;2;41;51.0;A1;avatar, street;running along the street
2_Video_02;Spatial.io;2;51;57.0;A4;avatar;avatar waving
2_Video_02;Spatial.io;2;57;70.0;A1;avatar, street;running on street
2_Video_02;Spatial.io;2;60;;A8;avatar, street;left turn 90
2_Video_02;Spatial.io;2;67;;A8;avatar, street;right turn 180
2_Video_02;Spatial.io;2;70;;A7;avatar, street;teleporting to end of street
2_Video_02;Spatial.io;2;70;82.0;A1;avatar, street;running on street to sign with picture
2_Video_02;Spatial.io;2;82;88.0;A6;avatar, sign;interacting with picture
2_Video_02;Spatial.io;2;90;;A7;avatar, street;teleporting to end of street
2_Video_02;Spatial.io;2;98;105.0;A4;avatar, street;avatar waving
2_Video_02;Spatial.io;2;105;113.0;A1;avatar, street;walking along the street
2_Video_02;Spatial.io;2;113;;A8;avatar, street;right turn 90
2_Video_02;Spatial.io;2;113;131.0;A1;avatar, street;walking and running around on the street
2_Video_02;Spatial.io;2;131;;A3;avatar, house, store;entering a house (bakery)
2_Video_02;Spatial.io;2;136;142.0;A6;avatar, video;interacting with video
2_Video_02;Spatial.io;2;142;;A1;avatar, house, store;leaving the building
2_Video_02;Spatial.io;2;142;163.0;A1;avatar, street;walking on the street
2_Video_02;Spatial.io;2;159;;A8;avatar, street;turn left 180
2_Video_02;Spatial.io;2;163;;A7;avatar, street;teleporting to end of street
2_Video_02;Spatial.io;2;163;177.0;A1;avatar, street;walking along the street
2_Video_02;Spatial.io;2;177;;A4;avatar, street;avatar waving
2_Video_02;Spatial.io;2;177;188.0;A1;avatar, street;running along the street
2_Video_02;Spatial.io;2;188;;A3;avatar, building;entering a building
2_Video_02;Spatial.io;2;188;195.0;A1;avatar, stairs;running upstairs
2_Video_02;Spatial.io;2;195;201.0;A6;avatar, picture;interacting with picture
2_Video_02;Spatial.io;2;201;208.0;A1;avatar, stairs;walking downstairs
2_Video_02;Spatial.io;2;208;;A1;avatar, house;leaving the building
2_Video_02;Spatial.io;2;208;216.0;A7;avatar, street;teleporting to end of street
2_Video_02;Spatial.io;2;225;234.0;A6;avatar, sign;interacting with video
2_Video_02;Spatial.io;2;234;242.0;A1;avatar, portal;walking towards a portal
2_Video_02;Spatial.io;2;242;247.0;A7;avatar, portal;teleporting to other space/room
2_Video_02;Spatial.io;2;247;264.0;A1;avatar, subway station;walking and running around in a subway station
2_Video_02;Spatial.io;2;261;;A8;avatar, train;left turn 180
2_Video_03;Spatial.io;2;1;13.0;A1;avatar, street, house;walking on a street towards a house
2_Video_03;Spatial.io;2;13;19.0;A2;avatar, house, wall;walking against wall
2_Video_03;Spatial.io;2;19;29.0;A1;avatar, street;walking on street
2_Video_03;Spatial.io;2;29;;A3;avatar, house;entering a house
2_Video_03;Spatial.io;2;29;46.0;A1;avatar, stairs;walking up und down stairs
2_Video_03;Spatial.io;2;46;;A1;avatar, door;leaving the building
2_Video_03;Spatial.io;2;46;57.0;A1;avatar, street, other avatar;walking on street towards other avatar
2_Video_03;Spatial.io;2;57;89.0;A10;avatar, other avatar;chatting with other avatar (text)
2_Video_03;Spatial.io;2;89;122.0;A1;avatar, street;running on street
2_Video_03;Spatial.io;2;104;;A8;avatar, street, crossing;left turn 90
2_Video_03;Spatial.io;2;115;;A8;avatar, street, deadend;right turn 180 on dead end
2_Video_03;Spatial.io;2;122;127.0;A2;avatar,house, wall;running against wall
2_Video_03;Spatial.io;2;127;138.0;A1;avatar, street, store;running along the street towards a store (bakery)
2_Video_03;Spatial.io;2;139;;A3;avatar, store;entering the store (bakery)
2_Video_03;Spatial.io;2;147;;A1;avatar, store;leaving the store
2_Video_03;Spatial.io;2;147;180.0;A1;avatar, street;running on street
2_Video_03;Spatial.io;2;158;;A8;avatar, street;turn right 180
2_Video_03;Spatial.io;2;168;;A8;avatar, street, car;turn left 180 at a car
2_Video_03;Spatial.io;2;180;216.0;A5;avatar, other avatar;chatting with other avatar (text)
2_Video_03;Spatial.io;2;216;222.0;A1;avatar, street, building;avatar running to building
2_Video_03;Spatial.io;2;222;;A3;avatar, building;entering building
2_Video_03;Spatial.io;2;222;233.0;A1;avatar, stairs;walking upstairs
