Video;Metaverse name;Editor;Timestamp start;Timestamp End;Action;Relevant Objects;Description
3_Video_01;VR-Chat;3;00:06:00;00:29:00;A5;2 kleine Katzen, 1 Pflanze;Dritte unterhalten sich
3_Video_01;VR-Chat;3;00:33:00;00:36:00;A5;2 kleine Katzen, 1 Pflanze;Dritte unterhalten sich
3_Video_01;VR-Chat;3;00:38:00;00:40:00;A5;2 kleine Katzen, 1 Pflanze;Dritte unterhalten sich
3_Video_01;VR-Chat;3;00:43:00;01:26:00;A5;2 kleine Katzen;Dritte unterhalten sich 
3_Video_01;VR-Chat;3;01:38:00;01:48:00;A5;2 kleine Katzen;Dritte unterhalten sich
3_Video_01;VR-Chat;3;00:00:00;00:04:00;A1;1 Pflanze, 1 Katze;Dritte bewegen sich
3_Video_01;VR-Chat;3;00:17:00;00:17:00;A1;Aufnehmender User;Wir laufen durch die Welt
3_Video_01;VR-Chat;3;00:52:00;00:56:00;A1;Aufnehmender User;Wir laufen durch die Welt
3_Video_01;VR-Chat;3;01:14:00;01:16:00;A1;Aufnehmender User;Wir laufen durch die Welt
3_Video_01;VR-Chat;3;01:40:00;01:45:00;A1;1 Pflanze;Dritter User läuft durch die Welt
3_Video_01;VR-Chat;3;00:18:00;00:19:00;A9;Aufnehmender User;Wir stoppen und gehen weiter
3_Video_01;VR-Chat;3;00:24:00;00:28:00;A8;1 kleine Katze;Dritter läuft vor und zurück
3_Video_01;VR-Chat;3;00:29:00;00:30:00;A8;1 kleine Katze;Dritter läuft vor und zurück
3_Video_01;VR-Chat;3;00:32:00;00:36:00;A8;1 kleine Katze;Dritter läuft vor und zurück
3_Video_01;VR-Chat;3;00:44:00;00:45:00;A8;1 kleine Katze;Dritter läuft vor und zurück
3_Video_01;VR-Chat;3;01:22:00;01:29:00;A8;1 kleine Katze;Dritter läuft vor und zurück und seitwärts
3_Video_01;VR-Chat;3;01:29:00;01:32:00;A4;Aufnehmender User;"Geste ""Auf jemanden zeigen"""
3_Video_01;VR-Chat;3;01:35:00;01:40:00;A4;Aufnehmender User;"Geste ""Die"" (Sterben, fällt um)"
3_Video_02;VR-Chat;3;00:00:00;00:11:00;A1;Aufnehmender User;Wir laufen durch die Welt
3_Video_02;VR-Chat;3;00:16:00;00:24:00;A1;Aufnehmender User;Wir laufen durch die Welt
3_Video_02;VR-Chat;3;00:25:00;00:27:00;A9;Aufnehmender User;Wir bleiben stehen und gehen weiter
3_Video_02;VR-Chat;3;00:03:00;00:03:00;A3;Aufnehmender User;Betritt Gebäude
3_Video_02;VR-Chat;3;00:07:00;00:07:00;A3;Aufnehmender User;Verlässt Gebäude
3_Video_02;VR-Chat;3;00:14:00;00:18:00;A5;Swat-Avater;Dritte unterhalten sich
3_Video_02;VR-Chat;3;00:32:00;00:35:00;A5;Swat-Avater;Dritte unterhalten sich
3_Video_02;VR-Chat;3;00:24:00;00:25:00;A7;Aufnehmender User, Teleportbutton;Teleportieren innerhalb der Welt
3_Video_02;VR-Chat;3;00:30:00;00:30:00;A7;Aufnehmender User, Teleportbutton;Teleportieren innerhalb der Welt
3_Video_03;VR-Chat;3;00:04:00;00:21:00;A1;Aufnehmender User;Wir laufen durch die Welt
3_Video_03;VR-Chat;3;00:06:00;00:06:00;A8;Aufnehmender User;Wir wechseln die Richtung
3_Video_03;VR-Chat;3;00:12:00;00:12:00;A8;Aufnehmender User;Wir wechseln die Richtung
3_Video_03;VR-Chat;3;00:22:00;00:26:00;A6;Aufnehmender User, Dose;Interaktion mit Dose
3_Video_03;VR-Chat;3;00:30:00;00:32:00;A6;Aufnehmender User, Dose;Interaktion mit Dose
3_Video_03;VR-Chat;3;00:35:00;00:36:00;A6;Aufnehmender User, Dose;Interaktion mit Dose
3_Video_03;VR-Chat;3;00:37:00;00:40:00;A1;Aufnehmender User;Wir laufen durch die Welt
3_Video_03;VR-Chat;3;00:41:00;00:43:00;A6;Aufnehmender User, Becher;Interaktion mit Becher
3_Video_03;VR-Chat;3;00:46:00;00:55:00;A1;Aufnehmender User;Wir laufen durch die Welt
3_Video_03;VR-Chat;3;00:48:00;00:48:00;A9;Aufnehmender User;Bleibt stehen und läuft dann weiter
3_Video_03;VR-Chat;3;00:55:00;01:04:00;A6;Aufnehmender User, Sirupflasche;Wir schütten Sirup auf die Pancakes
3_Video_03;VR-Chat;3;01:05:00;01:22:00;A1;Aufnehmender User;Wir laufen durch die Welt
