Video;Metaverse name;Editor;Time (from);Time (to, optional);Action;Relevant Objects;Description;Unnamed: 8;Unnamed: 9
4_Video_1.mp4;World of Warcraft;4;00:00:01.633000;00:00:02.133000;A1;Avatar;ein paar Schritte laufen;;
4_Video_1.mp4;World of Warcraft;4;00:00:03.033000;00:00:05.066000;A6;NPC, Interaktionsfenster;NPC ansprechen;;
4_Video_1.mp4;World of Warcraft;4;00:00:05.063000;00:00:11.699000;A6;NPC, Interaktionsfenster;NPC ansprechen, Gesprächsoptionen auswählen;;
4_Video_1.mp4;World of Warcraft;4;00:00:11.400000;00:00:18.500000;A1;Avatar;aus dem Gebäude laufen;;
4_Video_1.mp4;World of Warcraft;4;00:00:11.400000;00:00:16.399000;A8;Avatar;Richtungsanpassung während des Laufens;;
4_Video_1.mp4;World of Warcraft;4;00:00:20.899000;00:00:27.399000;A1;Avatar auf Reittier;auf Reittier reiten;;
4_Video_1.mp4;World of Warcraft;4;00:00:25.600000;00:00:26.300000;A8;Avatar auf Reittier;Richtunganpassung beim Reiten;;
4_Video_1.mp4;World of Warcraft;4;00:00:27.399000;;A2;Avatar auf Reittier, Karren;gegen Karren stoßen;;
4_Video_1.mp4;World of Warcraft;4;00:00:29.600000;;A8;Avatar auf Reittier ;Drehung im Stand;;
4_Video_1.mp4;World of Warcraft;4;00:00:30.100000;00:00:43.100000;A1;Avatar auf Reittier ;auf Reittier reiten;;
4_Video_1.mp4;World of Warcraft;4;00:00:30.600000;00:00:42.800000;A8;Avatar auf Reittier ;Richtunganpassung beim Reiten;;
4_Video_1.mp4;World of Warcraft;4;00:00:43;00:00:44;A9;Avatar auf Reittier ;stehenbleiben, weiterreiten nach Drehung im Stand;;
4_Video_1.mp4;World of Warcraft;4;00:00:43.600000;;A8;Avatar auf Reittier ;Drehung im Stand;;
4_Video_1.mp4;World of Warcraft;4;00:00:44.399000;00:00:46.600000;A1;Avatar auf Reittier ;auf Reittier reiten;;
4_Video_1.mp4;World of Warcraft;4;00:00:45.899000;;A2;Avatar auf Reittier, Hütte;Kollision mit Gebäude;;
4_Video_1.mp4;World of Warcraft;4;00:00:46.600000;;A2;Avatar auf Reittier, Steinkante;Kollision mit Steinkante;;
4_Video_1.mp4;World of Warcraft;4;00:00:47.700000;;A8;Avatar auf Reittier;Drehung im Stand;;
