Video;Metaverse name;Editor;Sekunde (from);Sekunde (to, optional);Action;Relevant Objects;Description
6_Video_001.mp4;Virtual Museum;6;0.0;;N1;Webseite;Beginn
6_Video_001.mp4;Virtual Museum;6;10.0;23.0;N2;Menü;Auswahl Scrollen
6_Video_001.mp4;Virtual Museum;6;23.0;26.0;N3;virtuelle Welt;virtuellen Rundgang auswählen
6_Video_001.mp4;Virtual Museum;6;28.0;32.0;N4;Kontext Menü testen;"Kontext Menü des Browser nicht verfügbar; alternatives Kontext Menü der 3DWelt"
6_Video_001.mp4;Virtual Museum;6;35.0;63.0;N5;Blumenbild;Blumenbild wird vergrößert (in Lightbox angezeigt)
6_Video_001.mp4;Virtual Museum;6;63.0;;N6;Blumenbild;Blumenbild wird verkleinert (in Lightbox wid geschlossen)
6_Video_001.mp4;Virtual Museum;6;67.0;72.0;N5;Bild mit Menschen;Bild mit Menschen wird vergrößert (in Lightbox angezeigt)
6_Video_001.mp4;Virtual Museum;6;72.0;;N6;Bild mit Menschen;Bild mit Menschen wird verkleinert (in Lightbox wid geschlossen)
6_Video_001.mp4;Virtual Museum;6;86.0;;N7;Raum;Klick auf Kreis
6_Video_001.mp4;Virtual Museum;6;95.0;;N7;Raum;Klick auf Kreis
6_Video_001.mp4;Virtual Museum;6;105.0;;N5;Bild mit Frau;Bild mit Frau wird vergrößert (in Lightbox angezeigt)
6_Video_001.mp4;Virtual Museum;6;108.0;;N8;"""i""-Symbol";"Klick auf ""i"""
6_Video_001.mp4;Virtual Museum;6;110.0;;N9;Text;Text wird selektiert
6_Video_001.mp4;Virtual Museum;6;120.0;;N8;Hyperlink;Neue Seite wird geöffnet
6_Video_001.mp4;Virtual Museum;6;150.0;;N8;Hyperlink;Neue Seite wird geöffnet
6_Video_002.mp4;Virtual Museum;6;5.0;;N3;Menü;Galerie wird geöffnet
6_Video_002.mp4;Virtual Museum;6;23.0;23.0;N5;Bild mit Goldfink;Bild wird vergrößert
6_Video_002.mp4;Virtual Museum;6;13.0;18.0;N8;"Symbol ""Download""";Informationen zum Download
6_Video_002.mp4;Virtual Museum;6;30.0;;N6;"Symbol ""Kreuz""";Bild wird verkleinert
6_Video_002.mp4;Virtual Museum;6;24.0;60.0;N9;Seite;Seite wird gescrollt
6_Video_002.mp4;Virtual Museum;6;60.0;65.0;N10;Text selketieren;
6_Video_002.mp4;Virtual Museum;6;65.0;;N11;Seite;Schema.org nicht relevant für weitere Informationen zum Bild
6_Video_003.mp4;Virtual Museum;6;0.0;10.0;N2;Seite;Seite wird gescrollt
6_Video_003.mp4;Virtual Museum;6;12.0;23.0;N3;Web-Seite-Element;
6_Video_003.mp4;Virtual Museum;6;15.0;;N8;"""i""-Symbol";
6_Video_003.mp4;Virtual Museum;6;24.0;;N11;Hamburger icon;Menüauswahl uninteressant
6_Video_003.mp4;Virtual Museum;6;29.0;;N8;"""i""-Symbol";
6_Video_003.mp4;Virtual Museum;6;32.0;40.0;N12;virtuelle Welt;Mehfacher Richtungswechsel
6_Video_003.mp4;Virtual Museum;6;40.0;45.0;N2;Seite;
6_Video_003.mp4;Virtual Museum;6;45.0;;N3;Web-Seite-Element;
6_Video_003.mp4;Virtual Museum;6;53.0;60.0;N8;"""i""-Symbol";"Bild mit See und Boot; Seite scheint ein Onlinshop zu sein, Bild hat einen Preis und kann gekauft werden"
6_Video_003.mp4;Virtual Museum;6;78.0;;N3;Web-Seite-Element;
6_Video_003.mp4;Virtual Museum;6;80.0;87.0;N14;Icon-Leiste;Tooltips werden angezeigt
6_Video_003.mp4;Virtual Museum;6;87.0;90.0;N12;;
6_Video_003.mp4;Virtual Museum;6;90.0;;N3;Web-Seite-Element;
6_Video_003.mp4;Virtual Museum;6;93.0;;N7;Symbol Auge;Auge schließt sich beim drüberfahren mit der Maus
6_Video_003.mp4;Virtual Museum;6;112.0;;N8;"""i""-Symbol";
6_Video_003.mp4;Virtual Museum;6;115.0;;N7;;
6_Video_003.mp4;Virtual Museum;6;115.0;123.0;N12;;
6_Video_003.mp4;Virtual Museum;6;123.0;;N8;"""i""-Symbol";
