Video;Metaverse name;Editor;Frame (from);Frame (to, optional);Action;Relevant Objects;Description
8_Video_ 1;Decentraland;8;40.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 1;Decentraland;8;88.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 1;Decentraland;8;290.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 1;Decentraland;8;413.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 1;Decentraland;8;620.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 1;Decentraland;8;709.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 1;Decentraland;8;761.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 1;Decentraland;8;800.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 1;Decentraland;8;936.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 1;Decentraland;8;981.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 1;Decentraland;8;1067.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 1;Decentraland;8;1130.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 1;Decentraland;8;1193.0;;A6;Painting, Avatar;Bild betrachten und anklicken
8_Video_ 1;Decentraland;8;1456.0;;A6;Painting, Avatar;Bild betrachten und anklicken
8_Video_ 1;Decentraland;8;1710.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 1;Decentraland;8;1800.0;;A6;Painting, Avatar;Bild betrachten und anklicken
8_Video_ 2;Decentraland;8;34.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 2;Decentraland;8;94.0;;A6;Avatar, Leinwand;ein Video betrachten
8_Video_ 2;Decentraland;8;94.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 2;Decentraland;8;239.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 2;Decentraland;8;454.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 2;Decentraland;8;867.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 2;Decentraland;8;910.0;;A6;Avatar, Flying Block;Block betrachten und anklicken
8_Video_ 2;Decentraland;8;1017.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 2;Decentraland;8;1057.0;;A6;Avatar, Reklametafel;Reklametafel betrachten und anklicken
8_Video_ 2;Decentraland;8;1122.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 2;Decentraland;8;1220.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 2;Decentraland;8;1240.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 2;Decentraland;8;1824.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 3;Decentraland;8;74.0;;A6;Avatar, Bild;Bild betrachten und anklicken
8_Video_ 3;Decentraland;8;74.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 3;Decentraland;8;249.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 3;Decentraland;8;280.0;;A6;Avatar, Bild;Bild betrachten und anklicken
8_Video_ 3;Decentraland;8;390.0;;A7;Avatar, Bild;"sich zu einem anderen Ort ""teleportieren"" "
8_Video_ 3;Decentraland;8;599.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 3;Decentraland;8;735.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 3;Decentraland;8;735.0;;A6;Avatar, PlayCoin ;PlayCoin betrachten und anklicken
8_Video_ 3;Decentraland;8;827.0;;A7;Avatar, Coin;"sich zu einem anderen Ort ""teleportieren"" "
8_Video_ 3;Decentraland;8;1230.0;;A6;RennwagenAvatar;Rennspiel spielen
8_Video_ 3;Decentraland;8;1911.0;;A6;HowtoPlayButton;Button Drücken
8_Video_ 3;Decentraland;8;1969.0;;A6;GotItButton;GotItButton drücken
8_Video_ 3;Decentraland;8;2162.0;;A1;RennwagenAvatar;durch die virtuelle Welt laufen 
8_Video_ 3;Decentraland;8;;;;;
8_Video_ 4;Decentraland;8;30.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 4;Decentraland;8;115.0;;A6;Avatar, PlayCoin ;PlayCoin betrachten und anklicken
8_Video_ 4;Decentraland;8;135.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 4;Decentraland;8;184.0;;A7;Avatar, Coin;"sich zu einem anderen Ort ""teleportieren"" "
8_Video_ 4;Decentraland;8;670.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 4;Decentraland;8;717.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 4;Decentraland;8;717.0;;A6;Avatar, Terminal;Terminal betrachten und anklicken
8_Video_ 4;Decentraland;8;934.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 4;Decentraland;8;1000.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 4;Decentraland;8;1050.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 4;Decentraland;8;1190.0;;A2;Avatar, Ventilator;gegen Ventilator gelaufen
8_Video_ 4;Decentraland;8;1190.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 4;Decentraland;8;1269.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 4;Decentraland;8;1320.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 4;Decentraland;8;1376.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 4;Decentraland;8;1429.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 4;Decentraland;8;1506.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 4;Decentraland;8;1596.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 4;Decentraland;8;1750.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 4;Decentraland;8;1750.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 4;Decentraland;8;1803.0;;A9;Avatar, Gitterstäbe;gegen Gitterstäbe gelaufen
8_Video_ 5;Decentraland;8;71.0;;A6;Avatar, Bild;Bild betrachten und anklicken
8_Video_ 5;Decentraland;8;210.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 5;Decentraland;8;440.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 5;Decentraland;8;485.0;;A6;Avatar, PlayCoin ;PlayCoin betrachten und anklicken
8_Video_ 5;Decentraland;8;555.0;;A7;Avatar, PlayCoin ;"sich zu einem anderen Ort ""teleportieren"" "
8_Video_ 5;Decentraland;8;960.0;;A6;RennwagenAvatar;Rennspiel spielen
8_Video_ 5;Decentraland;8;1300.0;;A1;RennwagenAvatar;durch die virtuelle Welt laufen 
8_Video_ 6;Decentraland;8;26.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 6;Decentraland;8;57.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 6;Decentraland;8;260.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 6;Decentraland;8;425.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 6;Decentraland;8;520.0;;A2;Avatar, Schaufenster;gegen Schaufenster gelaufen
8_Video_ 6;Decentraland;8;620.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 6;Decentraland;8;622.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 6;Decentraland;8;713.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 6;Decentraland;8;1013.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 6;Decentraland;8;1070.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 6;Decentraland;8;1036.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 6;Decentraland;8;1270.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 6;Decentraland;8;1300.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 6;Decentraland;8;1435.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 6;Decentraland;8;1718.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 7;Decentraland;8;80.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 7;Decentraland;8;120.0;;A6;Bild, Avatar;Bild betrachten und anklicken
8_Video_ 7;Decentraland;8;295.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 7;Decentraland;8;295.0;;A6;Bild, Avatar;Bild betrachten und anklicken
8_Video_ 7;Decentraland;8;429.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 7;Decentraland;8;429.0;;A6;Bild, Avatar;Bild betrachten und anklicken
8_Video_ 7;Decentraland;8;756.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 7;Decentraland;8;756.0;;A6;Bild, Avatar;Bild betrachten und anklicken
8_Video_ 7;Decentraland;8;1050.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 7;Decentraland;8;1485.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 7;Decentraland;8;1780.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 8;Decentraland;8;30.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 8;Decentraland;8;295.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 8;Decentraland;8;615.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 8;Decentraland;8;635.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 8;Decentraland;8;688.0;;A6;Bild, Avatar;Bild betrachten und anklicken
8_Video_ 8;Decentraland;8;1336.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 8;Decentraland;8;1365.0;;A6;Bild, Avatar;Bild betrachten und anklicken
8_Video_ 9;Decentraland;8;20.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 9;Decentraland;8;96.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 9;Decentraland;8;130.0;;A4;Avatar;winken
8_Video_ 9;Decentraland;8;338.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 9;Decentraland;8;384.0;;A4;Avatar;winken
8_Video_ 9;Decentraland;8;578.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 9;Decentraland;8;690.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 9;Decentraland;8;757.0;;A4;Avatar;winken
8_Video_ 9;Decentraland;8;875.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 9;Decentraland;8;1077.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 9;Decentraland;8;1111.0;;A4;Avatar;winken
8_Video_ 9;Decentraland;8;1220.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 9;Decentraland;8;1384.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 9;Decentraland;8;1671.0;;A2;Avatar, Parkbank;gegen Parkbank gelaufen
8_Video_ 9;Decentraland;8;1671.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 9;Decentraland;8;1710.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 9;Decentraland;8;1790.0;;A9;Avatar;stehen bleiben und weiter laufen 
