Video;Metaverse name;Editor;Time (from);Time (to, optional);Action;Relevant Objects;Description
9_Video_1.mp4;Second Life;9;00:00:00;00:05:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;00:05:00;00:06:00;A8;avatar;changing direction
9_Video_1.mp4;Second Life;9;00:06:00;00:38:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;00:38:00;00:40:00;A9;avatar, gate;standing in front of a gate
9_Video_1.mp4;Second Life;9;00:40:00;00:42:00;A8;avatar, gate;clicking on a gate with a computer mouse
9_Video_1.mp4;Second Life;9;00:42:00;00:42:00;A9;system;"Message: ""no key for the gate"""
9_Video_1.mp4;Second Life;9;00:42:00;00:44:00;A8;avatar, gate;clicking on a gate with a computer mouse
9_Video_1.mp4;Second Life;9;00:44:00;00:47:00;A9;system;"Message: ""no key for the gate"""
9_Video_1.mp4;Second Life;9;00:47:00;00:52:00;A8;avatar;changing direction to walk around the gate
9_Video_1.mp4;Second Life;9;00:52:00;00:55:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;00:55:00;00:55:00;A8;avatar;changing direction
9_Video_1.mp4;Second Life;9;00:55:00;01:07:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;01:07:00;01:11:00;A9;avatar;stay and go ahead
9_Video_1.mp4;Second Life;9;01:11:00;01:15:00;A8;avatar;changing direction
9_Video_1.mp4;Second Life;9;01:15:00;01:16:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;01:16:00;01:21:00;A2;avatar, wall;walking into a wall
9_Video_1.mp4;Second Life;9;01:21:00;01:24:00;A8;avatar;changing direction
9_Video_1.mp4;Second Life;9;01:24:00;01:33:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;01:33:00;01:33:00;A8;avatar;changing direction
9_Video_1.mp4;Second Life;9;01:33:00;01:58:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;01:58:00;02:06:00;A8;avatar;changing direction to walk around a corner
9_Video_1.mp4;Second Life;9;02:06:00;02:14:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;02:14:00;02:25:00;A8;avatar;going up a flight of stairs
9_Video_1.mp4;Second Life;9;02:25:00;02:34:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;02:34:00;02:37:00;A2;avatar, building, door;waiting in front of a door
9_Video_1.mp4;Second Life;9;02:37:00;02:40:00;A3;door;opening a door, entering a building
9_Video_1.mp4;Second Life;9;02:40:00;02:47:00;A1;avatar, building;walking through a building
9_Video_1.mp4;Second Life;9;02:47:00;02:51:00;A9;avatar, building, bench;standing in front of a bench
9_Video_1.mp4;Second Life;9;02:51:00;03:07:00;A6;avatar, building, bench;sitting down on a bench
9_Video_1.mp4;Second Life;9;03:07:00;03:13:00;A6;avatar, building, bench;standing up from the bench
9_Video_1.mp4;Second Life;9;03:13:00; 03:21;A1;avatar, building;walking through a building
9_Video_1.mp4;Second Life;9;03:21:00;03:24:00;A2;avatar, building, door;walking into a door
9_Video_1.mp4;Second Life;9;03:24:00;03:27:00;A3;door;opening a door, leaving a building
9_Video_1.mp4;Second Life;9;03:27:00;03:37:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;03:37:00;03:50:00;A8;avatar;going down a flight of stairs
9_Video_1.mp4;Second Life;9;03:50:00;03:52:00;A8;avatar;changing direction
9_Video_1.mp4;Second Life;9;03:52:00;04:29:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;04:29:00;04:29:00;A8;avatar;changing direction
9_Video_1.mp4;Second Life;9;04:29:00;04:34:00;A1;avatar;walking through the virtual world
9_Video_1.mp4;Second Life;9;04:34:00;04:37:00;A9;avatar, bench;standing in front of a bench
9_Video_1.mp4;Second Life;9;04:37:00;04:40:00;A6;avatar, bench;sitting down on a bench
9_Video_2.mp4;Second Life;9;00:00:00;00:06:00;A9;avatar;standing
9_Video_2.mp4;Second Life;9;00:06:00;00:10:00;A1;avatar;walking through the virtual world
9_Video_2.mp4;Second Life;9;00:10:00;00:18:00;A9;avatar;standing
9_Video_2.mp4;Second Life;9;00:18:00;01:10:00;A6;user, system;interacting with the system
9_Video_2.mp4;Second Life;9;01:10:00;01:12:00;A7;avatar;teleporting to another place
9_Video_2.mp4;Second Life;9;01:12:00;01:30:00;A9;avatar;standing
9_Video_2.mp4;Second Life;9;01:30:00;01:43:00;A1;avatar;walking through the virtual world
9_Video_2.mp4;Second Life;9;01:43:00;01:46:00;A2;avatar, building, door;walking into a door
9_Video_2.mp4;Second Life;9;01:46:00;01:52:00;A3;avatar, building, door;opening a door, entering a building
9_Video_2.mp4;Second Life;9;01:52:00;01:56:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;01:56:00;02:00:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;02:00:00;02:03:00;A9;avatar;standing
9_Video_2.mp4;Second Life;9;02:03:00;02:12:00;A6;avatar, building;reading information
9_Video_2.mp4;Second Life;9;02:12:00;02:15:00;A6;user, system;interacting with the system
9_Video_2.mp4;Second Life;9;02:15:00;02:26:00;A6;user, system;interacting with the system
9_Video_2.mp4;Second Life;9;02:26:00;02:26:00;A6;user, system;interacting with the system
9_Video_2.mp4;Second Life;9;02:26:00;02:30:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;02:30:00;02:36:00;A6;user, system;interacting with the system
9_Video_2.mp4;Second Life;9;02:36:00;02:37:00;A6;user, system;interacting with the system
9_Video_2.mp4;Second Life;9;02:37:00;02:49:00;A6;user, system;interacting with the system
9_Video_2.mp4;Second Life;9;02:49:00;02:58:00;A9;avatar;standing
9_Video_2.mp4;Second Life;9;02:58:00;03:02:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;03:02:00;03:07:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;03:07:00;03:10:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;03:10:00;03:13:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;03:13:00;03:13:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;03:13:00;03:20:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;03:20:00;03:20:00;A2;avatar, building, window;walking into a window
9_Video_2.mp4;Second Life;9;03:20:00;03:23:00;A9;avatar;standing
9_Video_2.mp4;Second Life;9;03:23:00;03:29:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;03:29:00;03:29:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;03:29:00;03:36:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;03:36:00;03:39:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;03:39:00;03:41:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;03:41:00;03:43:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;03:43:00;03:46:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;03:46:00;03:49:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;03:49:00;03:53:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;03:53:00;03:58:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;03:58:00;04:00:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;04:00:00;04:06:00;A2;avatar, building, chair;walking into a chair
9_Video_2.mp4;Second Life;9;04:06:00;04:20:00;A6;avatar, building, chair;sitting down on a chair
9_Video_2.mp4;Second Life;9;04:20:00;04:25:00;A6;avatar, building, chair;standing up from the chair
9_Video_2.mp4;Second Life;9;04:25:00;04:27:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;04:27:00;04:27:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;04:27:00;04:30:00;A1;avatar, building;walking through a building
9_Video_2.mp4;Second Life;9;04:30:00;04:30:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;04:30:00;04:33:00;A2;avatar, building, wall;walking into a wall
9_Video_2.mp4;Second Life;9;04:33:00;04:38:00;A8;avatar;changing direction
9_Video_2.mp4;Second Life;9;04:38:00;04:42:00;A2;avatar, building, door;walking into a door
9_Video_2.mp4;Second Life;9;04:42:00;04:46:00;A3;avatar, building, door;opening a door, leaving a building
9_Video_2.mp4;Second Life;9;04:46:00;04:56:00;A1;avatar;walking through the virtual world
9_Video_2.mp4;Second Life;9;04:56:00;05:00:00;A9;avatar;standing
9_Video_3.mp4;Second Life;9;00:00:00;00:10:00;A9;avatar;standing
9_Video_3.mp4;Second Life;9;00:10:00;00:12:00;A1;avatar;walking through the virtual world
9_Video_3.mp4;Second Life;9;00:12:00;00:12:00;A2;avatar, sidewalk;walking from the street onto a sidewalk
9_Video_3.mp4;Second Life;9;00:12:00;00:15:00;A1;avatar;walking through the virtual world
9_Video_3.mp4;Second Life;9;00:15:00;00:15:00;A2;avatar, sidewalk;walking from the street onto a sidewalk
9_Video_3.mp4;Second Life;9;00:15:00;00:18:00;A1;avatar;walking through the virtual world
9_Video_3.mp4;Second Life;9;00:18:00;00:18:00;A8;avatar;changing direction
9_Video_3.mp4;Second Life;9;00:18:00;00:21:00;A6;avatar, bus;entering a bus
9_Video_3.mp4;Second Life;9;00:21:00;00:21:00;A8;avatar;changing direction
9_Video_3.mp4;Second Life;9;00:21:00;00:25:00;A1;avatar;walking through the virtual world
9_Video_3.mp4;Second Life;9;00:25:00;00:25:00;A8;avatar;changing direction
9_Video_3.mp4;Second Life;9;00:31:00;00:31:00;A6;avatar, bus;entering a bus
9_Video_3.mp4;Second Life;9;00:31:00;01:44:00;A6;avatar, bus;riding a bus
9_Video_3.mp4;Second Life;9;01:44:00;01:44:00;A6;avatar, bus;leaving a bus
9_Video_3.mp4;Second Life;9;01:44:00;01:53:00;A1;avatar;walking through the virtual world
9_Video_3.mp4;Second Life;9;01:53:00;02:00:00;A8;avatar;changing direction
9_Video_3.mp4;Second Life;9;02:00:00;02:29:00;A1;avatar;walking through the virtual world
9_Video_3.mp4;Second Life;9;02:29:00;02:35:00;A9;avatar;stay and go ahead
9_Video_3.mp4;Second Life;9;02:35:00;02:39:00;A8;avatar;changing direction
9_Video_3.mp4;Second Life;9;02:39:00;02:54:00;A1;avatar;walking through the virtual world
9_Video_3.mp4;Second Life;9;02:54:00;02:55:00;A9;avatar;stay and go ahead
9_Video_3.mp4;Second Life;9;02:55:00;03:12:00;A1;avatar;walking through the virtual world
9_Video_3.mp4;Second Life;9;03:12:00;03:17:00;A9;avatar;standing
9_Video_3.mp4;Second Life;9;03:17:00;04:03:00;A10;avatar;chatting with anyone
9_Video_3.mp4;Second Life;9;04:03:00;04:10:00;A6;user, system;interacting with the system
9_Video_3.mp4;Second Life;9;04:10:00;04:13:00;A6;user, system;interacting with the system
9_Video_3.mp4;Second Life;9;04:13:00;04:21:00;A6;user, system;interacting with the system
9_Video_3.mp4;Second Life;9;04:21:00;04:24:00;A7;avatar;teleporting to another place
9_Video_3.mp4;Second Life;9;04:24:00;04:34:00;A9;avatar;standing
9_Video_3.mp4;Second Life;9;04:34:00;04:36:00;A8;avatar;changing direction
9_Video_3.mp4;Second Life;9;04:36:00;04:38:00;A2;avatar, wall;walking into a wall
9_Video_3.mp4;Second Life;9;04:38:00;04:43:00;A9;avatar, wall;standing in front of a wall
9_Video_3.mp4;Second Life;9;04:43:00;04:46:00;A6;avatar, wall;sitting down on a wall
9_Video_4.mp4;Second Life;9;00:00:00;00:08:00;A9;avatar;standing
9_Video_4.mp4;Second Life;9;00:08:00;00:10:00;A1;avatar;walking through the virtual world
9_Video_4.mp4;Second Life;9;00:10:00;00:11:00;A8;avatar;changing direction
9_Video_4.mp4;Second Life;9;00:11:00;00:12:00;A2;avatar, sidewalk;stepping onto a sidewalk
9_Video_4.mp4;Second Life;9;00:12:00;00:23:00;A1;avatar;walking through the virtual world
9_Video_4.mp4;Second Life;9;00:23:00;00:29:00;A6;avatar;reading information
9_Video_4.mp4;Second Life;9;00:29:00;00:36:00;A6;user, system;interacting with the system
9_Video_4.mp4;Second Life;9;00:36:00;00:43:00;A6;user, system;interacting with the system
9_Video_4.mp4;Second Life;9;00:43:00;00:49:00;A6;user, system;interacting with the system
9_Video_4.mp4;Second Life;9;00:49:00;00:54:00;A6;user, system;interacting with the system
9_Video_4.mp4;Second Life;9;00:54:00;01:11:00;A6;user, system;interacting with the system
9_Video_4.mp4;Second Life;9;01:11:00;01:27:00;A6;user, system;interacting with the system
9_Video_4.mp4;Second Life;9;01:27:00;01:30:00;A8;avatar;changing direction
9_Video_4.mp4;Second Life;9;01:30:00;01:36:00;A1;avatar;walking through the virtual world
9_Video_4.mp4;Second Life;9;01:36:00;01:42:00;A9;avatar;standing
9_Video_4.mp4;Second Life;9;01:42:00;01:56:00;A6;user, system;interacting with the system
9_Video_4.mp4;Second Life;9;01:56:00;01:59:00;A8;avatar;changing direction
9_Video_4.mp4;Second Life;9;01:59:00;01:59:00;A6;user, system;interacting with the system
9_Video_4.mp4;Second Life;9;01:59:00;02:03:00;A1;avatar;walking through the virtual world
9_Video_4.mp4;Second Life;9;02:03:00;02:03:00;A2;avatar, sidewalk;stepping onto a sidewalk
9_Video_4.mp4;Second Life;9;02:03:00;02:11:00;A1;avatar;walking through the virtual world
9_Video_4.mp4;Second Life;9;02:11:00;02:18:00;A9;avatar;standing
9_Video_4.mp4;Second Life;9;02:18:00;02:29:00;A1;avatar;walking through the virtual world
9_Video_4.mp4;Second Life;9;02:29:00;02:30:00;A9;avatar;standing
9_Video_4.mp4;Second Life;9;02:30:00;02:35:00;A6;user, system;interacting with the system
9_Video_4.mp4;Second Life;9;02:35:00;02:38:00;A7;avatar;teleporting to another place
9_Video_4.mp4;Second Life;9;02:38:00;03:04:00;A1;avatar;walking through the virtual world
9_Video_4.mp4;Second Life;9;03:04:00;03:08:00;A9;avatar;standing
9_Video_4.mp4;Second Life;9;03:08:00;03:11:00;A1;avatar;walking through the virtual world
9_Video_4.mp4;Second Life;9;03:11:00;03:25:00;A6;avatar;reading information
9_Video_4.mp4;Second Life;9;03:25:00;03:38:00;A1;avatar;walking through the virtual world
9_Video_4.mp4;Second Life;9;03:38:00;03:38:00;A9;avatar;standing
9_Video_4.mp4;Second Life;9;03:38:00;03:44:00;A6;avatar;reading information
9_Video_4.mp4;Second Life;9;03:44:00;04:00:00;A1;avatar;walking through the virtual world
9_Video_4.mp4;Second Life;9;04:00:00;04:18:00;A9;avatar;standing
9_Video_4.mp4;Second Life;9;04:18:00;04:52:00;A10;avatar;chatting with anyone
9_Video_5.mp4;Second Life;9;00:00:00;00:05:00;A9;avatar;standing
9_Video_5.mp4;Second Life;9;00:05:00;00:09:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;00:09:00;00:09:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;00:09:00;00:11:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;00:11:00;00:15:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;00:15:00;00:17:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;00:17:00;00:18:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;00:18:00;01:05:00;A1;avatar;dancing around
9_Video_5.mp4;Second Life;9;01:05:00;01:05:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;01:05:00;03:00:00;A10;avatar;chatting with someone, while still dancing around
9_Video_5.mp4;Second Life;9;03:00:00;03:03:00;A9;avatar;standing
9_Video_5.mp4;Second Life;9;03:03:00;03:07:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;03:07:00;03:10:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;03:10:00;03:38:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;03:38:00;03:42:00;A9;avatar;standing
9_Video_5.mp4;Second Life;9;03:42:00;03:45:00;A1;avatar;walking through the virtual world
9_Video_5.mp4;Second Life;9;03:45:00;03:45:00;A2;avatar, stairs;stepping on stairs
9_Video_5.mp4;Second Life;9;03:45:00;03:54:00;A1;avatar;walking through the virtual world
9_Video_5.mp4;Second Life;9;03:54:00;04:00:00;A9;avatar;standing
9_Video_5.mp4;Second Life;9;04:00:00;04:03:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;04:03:00;04:20:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;04:20:00;04:24:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;04:24:00;04:41:00;A6;user, system;interacting with the system
9_Video_5.mp4;Second Life;9;04:41:00;04:51:00;A9;avatar;standing
9_Video_5.mp4;Second Life;9;04:51:00;04:58:00;A1;avatar;walking through the virtual world
9_Video_5.mp4;Second Life;9;04:58:00;05:00:00;A9;avatar;standing
9_Video_6.mp4;Second Life;9;00:00:00;00:06:00;A9;avatar;standing
9_Video_6.mp4;Second Life;9;00:06:00;00:31:00;A6;user, system;interacting with the system
9_Video_6.mp4;Second Life;9;00:31:00;00:36:00;A7;avatar;teleporting to another place
9_Video_6.mp4;Second Life;9;00:36:00;00:39:00;A6;user, system;interacting with the system
9_Video_6.mp4;Second Life;9;00:39:00;00:57:00;A9;avatar;standing
9_Video_6.mp4;Second Life;9;00:57:00;01:10:00;A1;avatar;walking through the virtual world
9_Video_6.mp4;Second Life;9;01:10:00;01:17:00;A9;avatar;standing
9_Video_6.mp4;Second Life;9;01:17:00;01:20:00;A6;user, system;interacting with the system
9_Video_6.mp4;Second Life;9;01:20:00;01:25:00;A7;avatar;teleporting to another place
9_Video_6.mp4;Second Life;9;01:25:00;01:29:00;A1;avatar;walking through the virtual world
9_Video_6.mp4;Second Life;9;01:29:00;01:32:00;A3;avatar, building;entering a building
9_Video_6.mp4;Second Life;9;01:32:00;01:35:00;A1;avatar, building;walking through a building
9_Video_6.mp4;Second Life;9;01:35:00;01:37:00;A9;avatar, building;stay and go ahead
9_Video_6.mp4;Second Life;9;01:37:00;01:40:00;A9;avatar, building;walking through a building
9_Video_6.mp4;Second Life;9;01:40:00;01:52:00;A9;avatar, building;standing
9_Video_6.mp4;Second Life;9;01:52:00;01:57:00;A8;avatar, building;changing direction
9_Video_6.mp4;Second Life;9;01:57:00;02:03:00;A3;avatar, building;leaving a building
9_Video_6.mp4;Second Life;9;02:03:00;02:06:00;A8;avatar, building;changing direction
9_Video_6.mp4;Second Life;9;02:06:00;02:12:00;A1;avatar;walking through the virtual world
9_Video_6.mp4;Second Life;9;02:12:00;02:13:00;A9;avatar;stay and go ahead
9_Video_6.mp4;Second Life;9;02:13:00;02:22:00;A9;avatar;standing
9_Video_6.mp4;Second Life;9;02:22:00;02:32:00;A2;avatar, wall;walking into a wall
9_Video_6.mp4;Second Life;9;02:32:00;02:40:00;A1;avatar;falling out of bounds
9_Video_6.mp4;Second Life;9;02:40:00;02:40:00;A6;user, system;interacting with the system
9_Video_6.mp4;Second Life;9;02:40:00;02:45:00;A6;user, system;interacting with the system
9_Video_6.mp4;Second Life;9;02:45:00;02:48:00;A7;avatar;teleporting to another place
9_Video_6.mp4;Second Life;9;02:48:00;02:55:00;A9;avatar;standing
9_Video_6.mp4;Second Life;9;02:55:00;02:55:00;A6;user, system;interacting with the system
9_Video_6.mp4;Second Life;9;02:55:00;02:59:00;A9;avatar;standing
9_Video_6.mp4;Second Life;9;02:59:00;03:03:00;A1;avatar;walking through the virtual world
9_Video_6.mp4;Second Life;9;03:03:00;03:09:00;A8;avatar;changing direction
9_Video_6.mp4;Second Life;9;03:09:00;03:24:00;A1;avatar;walking through the virtual world
9_Video_6.mp4;Second Life;9;03:24:00;03:25:00;A2;avatar, fence;walking into a fence
9_Video_6.mp4;Second Life;9;03:25:00;03:29:00;A8;avatar;changing direction
9_Video_6.mp4;Second Life;9;03:29:00;04:07:00;A1;avatar;walking through the virtual world
9_Video_6.mp4;Second Life;9;04:07:00;04:11:00;A9;avatar;stay and go ahead
9_Video_6.mp4;Second Life;9;04:11:00;04:18:00;A1;avatar;walking through the virtual world
9_Video_6.mp4;Second Life;9;04:18:00;04:18:00;A9;avatar;standing
9_Video_6.mp4;Second Life;9;04:18:00;04:24:00;A6;avatar;reading information
9_Video_6.mp4;Second Life;9;04:24:00;04:27:00;A8;avatar;changing direction
9_Video_6.mp4;Second Life;9;04:27:00;04:39:00;A1;avatar;walking through the virtual world
9_Video_6.mp4;Second Life;9;04:39:00;04:40:00;A9;avatar;stay and go ahead
9_Video_6.mp4;Second Life;9;04:40:00;04:46:00;A1;avatar;walking through the virtual world
9_Video_6.mp4;Second Life;9;04:46:00;04:46:00;A9;avatar;standing
